"","word","n","exNum"
"1","the",630143,18
"2","to",404941,24
"3","and",245659,18
"4","a",240087,34
"5","i",237205,2
"6","you",215537,8
"7","is",207577,12
"8","it",198421,18
"9","in",181430,27
"10","this",151511,8
"11","for",148227,42
"12","of",144534,31
"13","that",132918,26
"14","on",104163,47
"15","with",96428,18
"16","can",85920,17
"17","not",85614,4
"18","if",82411,13
"19","be",80748,12
"20","as",77833,37
"21","your",74760,11
"22","have",74449,44
"23","ubuntu",74165,3
"24","but",73442,23
"25","or",63725,6
"26","from",58565,7
"27","are",56788,11
"28","will",56406,24
"29","my",56027,3
"30","use",54924,36
"31","file",51734,16
"32","do",46884,44
"33","so",46121,32
"34","by",44990,39
"35","an",42072,3
"36","then",40216,12
"37","install",38604,13
"38","there",38347,19
"39","using",37798,36
"40","just",37638,12
"41","command",37527,24
"42","all",36297,39
"43","which",36090,13
"44","when",35315,13
"45","like",34641,43
"46","was",33733,11
"47","what",33397,32
"48","also",32634,3
"49","at",32329,12
"50","one",31985,38
"51","how",30239,20
"52","get",29449,100
"53","answer",29329,27
"54","run",29159,192
"55","me",28991,9
"56","system",28496,23
"57","work",28332,64
"58","need",27664,23
"59","should",27604,12
"60","only",27444,13
"61","want",27280,28
"62","no",26753,9
"63","any",26442,9
"64","see",26325,41
"65","files",26016,16
"66","some",25248,16
"67","would",24926,43
"68","it's",24080,14
"69","after",23916,20
"70","has",23806,30
"71","other",23219,17
"72","more",22963,33
"73","now",22877,22
"74","up",22849,93
"75","here",22581,29
"76","don't",21883,1
"77","terminal",21673,14
"78","installed",21605,8
"79","problem",21544,12
"80","same",21307,22
"81","way",20912,56
"82","does",20477,40
"83","windows",20011,13
"84","version",19792,12
"85","open",18816,59
"86","make",18618,91
"87","package",18452,12
"88","out",18362,78
"89","add",18143,18
"90","line",17962,72
"91","new",17907,37
"92","question",17669,16
"93","try",17466,29
"94","time",17328,64
"95","about",17171,20
"96","i'm",17096,11
"97","linux",17041,3
"98","user",16942,10
"99","works",16925,64
"100","running",16786,194
"101","default",16330,14
"102","set",16282,92
"103","following",16022,35
"104","could",15975,22
"105","may",15787,6
"106","first",15736,19
"107","know",15618,19
"108","find",15562,26
"109","change",15411,39
"110","script",15010,15
"111","used",14905,34
"112","still",14818,28
"113","directory",14776,7
"114","boot",14735,20
"115","them",14717,32
"116","into",14651,11
"117","because",14587,9
"118","doesn't",14478,0
"119","had",14445,30
"120","they",14365,27
"121","desktop",13764,11
"122","software",13379,11
"123","server",13295,10
"124","click",13211,18
"125","packages",13021,12
"126","did",13020,40
"127","solution",13011,14
"128","option",12931,14
"129","these",12722,7
"130","gnome",12701,7
"131","thanks",12566,16
"132","right",12532,59
"133","example",12342,18
"134","case",12297,38
"135","than",12256,9
"136","am",12105,13
"137","even",12013,35
"138","settings",11964,92
"139","found",11845,31
"140","without",11723,17
"141","tried",11678,26
"142","well",11658,39
"143","edit",11651,12
"144","something",11628,14
"145","where",11590,17
"146","sure",11586,27
"147","etc",11575,10
"148","update",11517,11
"149","create",11458,13
"150","go",11432,124
"151","i've",11256,0
"152","kernel",11225,10
"153","partition",11154,12
"154","screen",11141,14
"155","error",11127,12
"156","check",11119,45
"157","very",11081,20
"158","worked",11078,56
"159","output",11042,12
"160","type",10873,19
"161","its",10836,18
"162","remove",10834,21
"163","folder",10821,9
"164","name",10695,38
"165","think",10666,33
"166","source",10619,15
"167","we",10434,8
"168","might",10415,10
"169","root",10355,23
"170","start",10265,23
"171","issue",10252,28
"172","why",10238,8
"173","key",10235,24
"174","before",10229,26
"175","another",10108,17
"176","since",10025,8
"177","been",9945,11
"178","instead",9881,13
"179","good",9877,72
"180","window",9830,13
