"word","n"
"the",630143
"to",404941
"and",245659
"a",240087
"i",237205
"you",215537
"is",207577
"it",198421
"in",181430
"this",151511
"for",148227
"of",144534
"that",132918
"on",104163
"with",96428
"can",85920
"not",85614
"if",82411
"be",80748
"as",77833
"your",74760
"have",74449
"ubuntu",74165
"but",73442
"or",63725
"from",58565
"are",56788
"will",56406
"my",56027
"use",54924
"file",51734
"do",46884
"so",46121
"by",44990
"an",42072
"then",40216
"install",38604
"there",38347
"using",37798
"just",37638
"command",37527
"all",36297
"which",36090
"when",35315
"like",34641
"was",33733
"what",33397
"also",32634
"at",32329
"one",31985
"how",30239
"get",29449
"answer",29329
"run",29159
"me",28991
"system",28496
"work",28332
"need",27664
"should",27604
"only",27444
"want",27280
"no",26753
"any",26442
"see",26325
"files",26016
"some",25248
"would",24926
"it's",24080
"after",23916
"has",23806
"other",23219
"more",22963
"now",22877
"up",22849
"here",22581
"don't",21883
"terminal",21673
"installed",21605
"problem",21544
"same",21307
"way",20912
"does",20477
"windows",20011
"version",19792
"open",18816
"make",18618
"package",18452
"out",18362
"add",18143
"line",17962
"new",17907
"question",17669
"try",17466
"time",17328
"about",17171
"i'm",17096
"linux",17041
"user",16942
"works",16925
"running",16786
"default",16330
"set",16282
"following",16022
"could",15975
"may",15787
"first",15736
"know",15618
"find",15562
"change",15411
"script",15010
"used",14905
"still",14818
"directory",14776
"boot",14735
"them",14717
"into",14651
"because",14587
"doesn't",14478
"had",14445
"they",14365
"desktop",13764
"software",13379
"server",13295
"click",13211
"packages",13021
"did",13020
"solution",13011
"option",12931
"these",12722
"gnome",12701
"thanks",12566
"right",12532
"example",12342
"case",12297
"than",12256
"am",12105
"even",12013
"settings",11964
"found",11845
"without",11723
"tried",11678
"well",11658
"edit",11651
"something",11628
"where",11590
"sure",11586
"etc",11575
"update",11517
"create",11458
"go",11432
"i've",11256
"kernel",11225
"partition",11154
"screen",11141
"error",11127
"check",11119
"very",11081
"worked",11078
"output",11042
"type",10873
"its",10836
"remove",10834
"folder",10821
"name",10695
"think",10666
"source",10619
"we",10434
"might",10415
"root",10355
"start",10265
"issue",10252
"why",10238
"key",10235
"before",10229
"another",10108
"since",10025
"been",9945
"instead",9881
"good",9877
"window",9830
"bit",9808
"working",9749
"note",9709
"different",9673
"back",9593
"list",9485
"drive",9458
"shell",9441
"bug",9417
"unity",9320
"already",9310
"usb",9307
"available",9277
"help",9206
"again",9204
"commands",9037
"seems",8963
"able",8958
"however",8935
"above",8884
"too",8791
"two",8764
"most",8682
"download",8679
"link",8536
"manager",8522
"menu",8456
"both",8346
"while",8346
"look",8283
"password",8213
"http",8187
"apt",8185
"read",8157
"disk",8156
"please",8147
"really",8140
"installation",8131
"home",8080
"network",8052
"application",8047
"select",8012
"installing",8006
"machine",7886
"computer",7850
"ctrl",7835
"possible",7835
"can't",7764
"sudo",7746
"device",7685
"much",7653
"you're",7532
"process",7520
"such",7476
"fix",7409
"program",7391
"alt",7349
"text",7347
"https",7342
"access",7314
"information",7278
"actually",7275
"those",7199
"data",7111
"didn't",7098
"though",7082
"better",7073
"many",7017
"support",6986
"login",6948
"options",6941
"copy",6940
"that's",6921
"applications",6883
"via",6843
"x",6801
"users",6771
"keyboard",6715
"code",6657
"current",6656
"page",6649
"trying",6622
"driver",6621
"probably",6606
"reboot",6568
"configuration",6501
"under",6394
"done",6359
"through",6341
"show",6320
"mode",6312
"got",6287
"below",6234
"log",6120
"their",6118
"image",6103
"each",6100
"press",6061
"things",6042
"search",6011
"being",5971
"old",5964
"every",5918
"yes",5890
"always",5856
"off",5816
"ppa",5804
"once",5797
"save",5794
"gui",5784
"grub",5775
"nvidia",5749
"upgrade",5697
"fine",5688
"enter",5630
"thing",5622
"anything",5614
"doing",5611
"put",5599
"down",5562
"point",5535
"versions",5535
"questions",5530
"either",5509
"take",5497
"between",5480
"tool",5465
"over",5461
"give",5456
"post",5452
"similar",5408
"everything",5406
"setting",5399
"end",5382
"drivers",5357
"restart",5347
"space",5342
"bash",5340
"simple",5299
"number",5285
"were",5281
"answers",5276
"disable",5255
"firefox",5249
"video",5222
"os",5209
"tab",5207
"icon",5193
"path",5188
"simply",5118
"mount",5107
"write",5106
"laptop",5084
"button",5055
"last",5038
"having",5037
"automatically",5029
"called",5024
"method",5006
"display",4999
"next",4999
"best",4984
"lot",4980
"hard",4931
"specific",4917
"added",4897
"step",4893
"changes",4889
"correct",4889
"looking",4875
"part",4821
"ssh",4821
"mouse",4794
"release",4783
"based",4781
"lts",4774
"few",4745
"isn't",4734
"full",4671
"python",4669
"problems",4636
"say",4633
"maybe",4630
"choose",4620
"enable",4613
"manually",4612
"nautilus",4607
"going",4605
"switch",4597
"own",4593
"means",4582
"environment",4550
"keep",4496
"least",4493
"uses",4489
"lines",4475
"second",4472
"comment",4445
"delete",4443
"left",4439
"looks",4438
"needed",4424
"s",4404
"fixed",4375
"created",4372
"won't",4356
"size",4335
"nothing",4328
"reason",4320
"session",4299
"you'll",4276
"google",4265
"latest",4262
"test",4256
"updates",4256
"virtual",4254
"there's",4251
"hardware",4247
"people",4244
"free",4241
"cd",4229
"great",4225
"message",4215
"must",4165
"editor",4164
"connection",4153
"swap",4148
"made",4146
"tools",4146
"chrome",4143
"easy",4124
"useful",4108
"thank",4084
"long",4071
"never",3998
"changed",3993
"idea",3992
"steps",3989
"card",3979
"connect",3952
"top",3948
"permissions",3942
"app",3934
"updated",3908
"repository",3902
"instructions",3901
"around",3899
"launcher",3893
"cannot",3888
"interface",3842
"related",3835
"programs",3834
"adding",3832
"browser",3825
"local",3819
"live",3793
"else",3775
"format",3775
"i'd",3748
"currently",3743
"debian",3742
"keys",3738
"config",3698
"order",3698
"issues",3677
"getting",3673
"replace",3668
"shows",3647
"box",3642
"memory",3620
"monitor",3616
"wrong",3608
"move",3598
"mean",3591
"exactly",3584
"until",3550
"needs",3544
"enough",3543
"close",3541
"non",3537
"power",3533
"systems",3532
"setup",3526
"ask",3522
"address",3521
"removed",3515
"usually",3503
"service",3502
"single",3495
"mentioned",3494
"says",3491
"c",3474
"web",3474
"hope",3467
"yet",3461
"ram",3452
"multiple",3450
"security",3439
"center",3433
"sound",3428
"place",3415
"virtualbox",3388
"far",3386
"seem",3374
"control",3372
"internet",3354
"execute",3348
"value",3346
"rather",3337
"devices",3327
"little",3326
"nice",3304
"solved",3295
"re",3293
"info",3288
"wine",3276
"who",3269
"ip",3257
"usr",3240
"group",3236
"quite",3233
"host",3227
"ok",3227
"allow",3224
"startup",3213
"account",3205
"tell",3205
"entry",3186
"standard",3184
"makes",3172
"graphics",3169
"directories",3164
"itself",3164
"backup",3160
"follow",3146
"main",3129
"input",3119
"later",3117
"longer",3110
"share",3105
"panel",3100
"extension",3096
"dev",3094
"normal",3090
"iso",3089
"original",3087
"provide",3075
"shortcut",3073
"plugin",3070
"directly",3066
"configure",3047
"i'll",3043
"someone",3041
"scripts",3040
"feature",3028
"said",3014
"cpu",3013
"java",2993
"audio",2976
"several",2976
"changing",2963
"details",2959
"bios",2951
"client",2946
"port",2924
"enabled",2916
"flash",2916
"include",2914
"apps",2905
"less",2896
"paste",2885
"inside",2876
"started",2867
"dependencies",2864
"executable",2864
"let",2860
"others",2842
"site",2841
"anyone",2823
"partitions",2823
"build",2820
"pretty",2808
"understand",2808
"sometimes",2793
"missing",2792
"guest",2768
"additional",2761
"recommend",2757
"previous",2754
"official",2740
"given",2737
"repositories",2736
"times",2723
"required",2719
"important",2710
"difference",2707
"supported",2706
"finally",2703
"t",2703
"errors",2691
"pc",2690
"filesystem",2682
"features",2678
"deb",2671
"pdf",2662
"course",2660
"although",2659
"result",2648
"remember",2647
"appears",2633
"section",2622
"including",2620
"gives",2613
"intel",2596
"variable",2590
"solve",2585
"dash",2578
"helps",2574
"here's",2563
"folders",2562
"whole",2562
"necessary",2554
"installer",2553
"report",2548
"turn",2544
"allows",2541
"wireless",2532
"whether",2528
"external",2527
"stop",2503
"suggest",2503
"tested",2502
"guess",2491
"removing",2481
"background",2479
"completely",2479
"prompt",2475
"bad",2474
"function",2464
"appear",2461
"downloaded",2454
"comes",2450
"links",2441
"alternative",2434
"unless",2428
"during",2421
"happens",2418
"editing",2416
"location",2415
"anyway",2402
"module",2400
"bar",2395
"likely",2390
"community",2388
"starting",2376
"easily",2375
"newer",2368
"otherwise",2367
"theme",2362
"contains",2360
"man",2350
"typing",2349
"results",2348
"id",2343
"shortcuts",2336
"provided",2330
"wiki",2327
"view",2325
"whatever",2322
"date",2320
"side",2320
"duplicate",2315
"mounted",2307
"correctly",2301
"stuff",2295
"older",2292
"media",2291
"separate",2281
"unfortunately",2276
"custom",2274
"names",2274
"usage",2274
"making",2272
"within",2265
"general",2262
"runs",2260
"d",2259
"easier",2254
"load",2254
"come",2246
"bin",2233
"super",2232
"mac",2227
"complete",2226
"sorry",2226
"kde",2217
"images",2216
"us",2212
"console",2210
"wifi",2204
"cause",2198
"disabled",2193
"connected",2190
"launch",2190
"he",2186
"often",2185
"manual",2177
"website",2173
"existing",2172
"screenshot",2170
"years",2170
"per",2166
"contents",2164
"vm",2163
"effect",2158
"properly",2158
"small",2152
"play",2151
"content",2147
"workaround",2144
"project",2143
"wanted",2141
"lock",2140
"remote",2138
"indicator",2125
"preferences",2125
"gets",2123
"ran",2117
"exist",2115
"real",2115
"built",2107
"compiz",2100
"haven't",2096
"hit",2094
"asked",2091
"mysql",2078
"fact",2070
"resolution",2066
"clicking",2065
"job",2064
"documentation",2057
"sources",2051
"level",2043
"creating",2042
"shift",2040
"apply",2024
"android",2023
"graphical",2021
"believe",2020
"dns",2018
"instance",2017
"volume",2017
"ones",2016
"processes",2012
"shown",2010
"extra",2008
"you've",2005
"actual",1990
"speed",1989
"cache",1985
"language",1983
"recommended",1980
