"","x"
"1","https://www.ptt.cc/bbs/HatePolitics/M.1563507542.A.70D.html"
"2","https://www.ptt.cc/bbs/HatePolitics/M.1563507559.A.4F2.html"
"3","https://www.ptt.cc/bbs/HatePolitics/M.1563507624.A.482.html"
"4","https://www.ptt.cc/bbs/HatePolitics/M.1563507932.A.5AE.html"
"5","https://www.ptt.cc/bbs/HatePolitics/M.1563507961.A.721.html"
"6","https://www.ptt.cc/bbs/HatePolitics/M.1563508073.A.740.html"
"7","https://www.ptt.cc/bbs/HatePolitics/M.1563508128.A.AAF.html"
"8","https://www.ptt.cc/bbs/HatePolitics/M.1563508460.A.31A.html"
"9","https://www.ptt.cc/bbs/HatePolitics/M.1563508467.A.576.html"
"10","https://www.ptt.cc/bbs/HatePolitics/M.1563508511.A.89D.html"
"11","https://www.ptt.cc/bbs/HatePolitics/M.1563508534.A.8B0.html"
"12","https://www.ptt.cc/bbs/HatePolitics/M.1563508593.A.D58.html"
"13","https://www.ptt.cc/bbs/HatePolitics/M.1563508602.A.05A.html"
"14","https://www.ptt.cc/bbs/HatePolitics/M.1563508603.A.0DD.html"
"15","https://www.ptt.cc/bbs/HatePolitics/M.1563508692.A.AFB.html"
"16","https://www.ptt.cc/bbs/HatePolitics/M.1563508885.A.174.html"
"17","https://www.ptt.cc/bbs/HatePolitics/M.1563508913.A.5C7.html"
"18","https://www.ptt.cc/bbs/HatePolitics/M.1563508929.A.E6A.html"
"19","https://www.ptt.cc/bbs/HatePolitics/M.1563508988.A.B15.html"
"20","https://www.ptt.cc/bbs/HatePolitics/M.1563508996.A.EB0.html"
"21","https://www.ptt.cc/bbs/HatePolitics/M.1563509088.A.A28.html"
"22","https://www.ptt.cc/bbs/HatePolitics/M.1563509193.A.48B.html"
"23","https://www.ptt.cc/bbs/HatePolitics/M.1563509213.A.6AA.html"
"24","https://www.ptt.cc/bbs/HatePolitics/M.1563509215.A.23E.html"
"25","https://www.ptt.cc/bbs/HatePolitics/M.1563509238.A.E08.html"
"26","https://www.ptt.cc/bbs/HatePolitics/M.1563509295.A.179.html"
"27","https://www.ptt.cc/bbs/HatePolitics/M.1563509298.A.1A3.html"
"28","https://www.ptt.cc/bbs/HatePolitics/M.1563509348.A.CCC.html"
"29","https://www.ptt.cc/bbs/HatePolitics/M.1563509357.A.0BF.html"
"30","https://www.ptt.cc/bbs/HatePolitics/M.1563509383.A.F0B.html"
"31","https://www.ptt.cc/bbs/HatePolitics/M.1563509456.A.942.html"
"32","https://www.ptt.cc/bbs/HatePolitics/M.1563509458.A.F17.html"
"33","https://www.ptt.cc/bbs/HatePolitics/M.1563509530.A.DA4.html"
"34","https://www.ptt.cc/bbs/HatePolitics/M.1563509560.A.548.html"
"35","https://www.ptt.cc/bbs/HatePolitics/M.1563509595.A.B64.html"
"36","https://www.ptt.cc/bbs/HatePolitics/M.1563509722.A.13B.html"
"37","https://www.ptt.cc/bbs/HatePolitics/M.1563509789.A.EC8.html"
"38","https://www.ptt.cc/bbs/HatePolitics/M.1563509842.A.6B6.html"
"39","https://www.ptt.cc/bbs/HatePolitics/M.1563509909.A.E23.html"
"40","https://www.ptt.cc/bbs/HatePolitics/M.1563509974.A.4E7.html"
"41","https://www.ptt.cc/bbs/HatePolitics/M.1563509987.A.F38.html"
"42","https://www.ptt.cc/bbs/HatePolitics/M.1563510033.A.961.html"
"43","https://www.ptt.cc/bbs/HatePolitics/M.1563510037.A.0CC.html"
"44","https://www.ptt.cc/bbs/HatePolitics/M.1563510039.A.002.html"
"45","https://www.ptt.cc/bbs/HatePolitics/M.1563510079.A.395.html"
"46","https://www.ptt.cc/bbs/HatePolitics/M.1563510165.A.BA3.html"
"47","https://www.ptt.cc/bbs/HatePolitics/M.1563510185.A.AEC.html"
"48","https://www.ptt.cc/bbs/HatePolitics/M.1563510211.A.CD1.html"
"49","https://www.ptt.cc/bbs/HatePolitics/M.1563510217.A.EB6.html"
"50","https://www.ptt.cc/bbs/HatePolitics/M.1563510262.A.BE9.html"
"51","https://www.ptt.cc/bbs/HatePolitics/M.1563510417.A.D4A.html"
"52","https://www.ptt.cc/bbs/HatePolitics/M.1563510420.A.5FF.html"
"53","https://www.ptt.cc/bbs/HatePolitics/M.1563510433.A.E3F.html"
"54","https://www.ptt.cc/bbs/HatePolitics/M.1563510536.A.155.html"
"55","https://www.ptt.cc/bbs/HatePolitics/M.1563510705.A.75F.html"
"56","https://www.ptt.cc/bbs/HatePolitics/M.1563510732.A.1A9.html"
"57","https://www.ptt.cc/bbs/HatePolitics/M.1563510913.A.27A.html"
"58","https://www.ptt.cc/bbs/HatePolitics/M.1563510930.A.006.html"
"59","https://www.ptt.cc/bbs/HatePolitics/M.1563511004.A.273.html"
"60","https://www.ptt.cc/bbs/HatePolitics/M.1563511112.A.113.html"
"61","https://www.ptt.cc/bbs/HatePolitics/M.1563511146.A.DE7.html"
"62","https://www.ptt.cc/bbs/HatePolitics/M.1563511216.A.FE2.html"
"63","https://www.ptt.cc/bbs/HatePolitics/M.1563511225.A.A9E.html"
"64","https://www.ptt.cc/bbs/HatePolitics/M.1563511242.A.FB0.html"
"65","https://www.ptt.cc/bbs/HatePolitics/M.1563511375.A.2B8.html"
"66","https://www.ptt.cc/bbs/HatePolitics/M.1563511448.A.D03.html"
"67","https://www.ptt.cc/bbs/HatePolitics/M.1563511469.A.E3A.html"
"68","https://www.ptt.cc/bbs/HatePolitics/M.1563511509.A.F9F.html"
"69","https://www.ptt.cc/bbs/HatePolitics/M.1563511528.A.BA3.html"
"70","https://www.ptt.cc/bbs/HatePolitics/M.1563511667.A.A31.html"
"71","https://www.ptt.cc/bbs/HatePolitics/M.1563511956.A.FD3.html"
"72","https://www.ptt.cc/bbs/HatePolitics/M.1563512047.A.83A.html"
"73","https://www.ptt.cc/bbs/HatePolitics/M.1563512073.A.E9A.html"
"74","https://www.ptt.cc/bbs/HatePolitics/M.1563512148.A.D19.html"
"75","https://www.ptt.cc/bbs/HatePolitics/M.1563512239.A.C34.html"
"76","https://www.ptt.cc/bbs/HatePolitics/M.1563512309.A.1F6.html"
"77","https://www.ptt.cc/bbs/HatePolitics/M.1563512385.A.DDF.html"
"78","https://www.ptt.cc/bbs/HatePolitics/M.1563512510.A.008.html"
"79","https://www.ptt.cc/bbs/HatePolitics/M.1563512585.A.053.html"
"80","https://www.ptt.cc/bbs/HatePolitics/M.1563512693.A.834.html"
"81","https://www.ptt.cc/bbs/HatePolitics/M.1563512740.A.5C5.html"
"82","https://www.ptt.cc/bbs/HatePolitics/M.1563512804.A.80F.html"
"83","https://www.ptt.cc/bbs/HatePolitics/M.1563512838.A.2D0.html"
"84","https://www.ptt.cc/bbs/HatePolitics/M.1563512868.A.4D5.html"
"85","https://www.ptt.cc/bbs/HatePolitics/M.1563512879.A.81B.html"
