"","x"
"1","韓國瑜"
"2","蔡英文"
"3","柯文哲"
"4","郭台銘"
"5","賴清德"
"6","陳水扁"
"7","蘇貞昌"
"8","朱立倫"
"9","陳菊"
"10","王金平"
"11","馬英九"
"12","吳敦義"
"13","陳其邁"
"14","黃國昌"
"15","盧秀燕"
"16","王世堅"
"17","羅智強"
"18","鄭麗君"
"19","黃捷"
"20","余天"
"21","陳明通"
"22","陳致中"
"23","鄭文燦"
"24","蔡正元"
"25","林佳龍"
"26","林飛帆"
"27","郭國文"
"28","周錫瑋"
"29","丁守中"
"30","卓榮泰"
"31","高嘉瑜"
"32","侯友宜"
"33","蔣萬安"
"34","宋楚瑜"
"35","陳吉仲"
"36","邱威傑"
"37","張善政"
"38","李登輝"
"39","段宜康"
"40","郝龍斌"
"41","李進勇"
"42","謝長廷"
"43","沈智慧"
"44","黃昭順"
"45","徐國勇"
"46","黃偉哲"
"47","李俊毅"
"48","何志偉"
"49","陳麗娜"
"50","洪秀柱"
"51","潘孟安"
"52","王定宇"
"53","蘇嘉全"
"54","王鴻薇"
"55","江啟臣"
"56","洪慈庸"
"57","陳建仁"
"58","陳美雅"
"59","羅文嘉"
"60","賴士葆"
"61","連勝文"
"62","許崑源"
"63","徐永明"
"64","蕭美琴"
"65","許淑華"
"66","林昶佐"
"67","王育敏"
"68","吳釗燮"
"69","呂秀蓮"
"70","姚文智"
"71","康裕成"
"72","游淑慧"
"73","林姿妙"
"74","林靜儀"
"75","周春米"
"76","邱議瑩"
"77","柯建銘"
"78","吳志揚"
"79","洪孟楷"
"80","簡舒培"
"81","鍾小平"
"82","簡煥宗"
"83","林俊憲"
"84","傅崐萁"
"85","費鴻泰"
"86","張麗善"
"87","連戰"
"88","柯志恩"
"89","葉宜津"
"90","陳師孟"
"91","陳明文"
"92","胡志強"
"93","李喬如"
"94","苗博雅"
"95","唐鳳"
"96","黃重諺"
"97","陳學聖"
"98","管碧玲"
"99","徐巧芯"
"100","王惠美"
"101","張亞中"
"102","林智鴻"
"103","陳宜民"
"104","蔡其昌"
"105","邱毅"
"106","林岱樺"
"107","高金素梅"
"108","邱太三"
"109","顧立雄"
"110","陳玉珍"
"111","林右昌"
"112","翁章梁"
"113","江宜樺"
"114","劉世芳"
"115","沈榮津"
"116","曾銘宗"
"117","許毓仁"
"118","嚴德發"
"119","黃敏惠"
"120","吳芳銘"
"121","黃紹庭"
"122","林淑芬"
"123","詹婷怡"
"124","李彥秀"
"125","谷辣斯．尤達卡"
"126","應曉薇"
"127","許智傑"
"128","徐耀昌"
"129","游錫堃"
"130","邱于軒"
"131","柯呈枋"
"132","鄭運鵬"
"133","林全"
"134","蘇巧慧"
"135","郭正亮"
"136","趙天麟"
"137","陳炳甫"
"138","林智堅"
"139","吳思瑤"
"140","曾永權"
"141","林明溱"
"142","尤美女"
"143","魏明谷"
"144","徐榛蔚"
"145","高志鵬"
"146","陳亭妃"
"147","顏寬恒"
"148","陳時中"
"149","高閔琳"
"150","吳育昇"
"151","劉櫂豪"
"152","王欣儀"
"153","侯漢廷"
"154","陸淑美"
"155","蔡清祥"
"156","張景森"
"157","張花冠"
"158","余宛如"
"159","李俊俋"
"160","許銘春"
"161","孔文吉"
"162","高潞·以用·巴魕剌"
"163","楊金龍"
"164","蔡易餘"
"165","陳超明"
"166","潘文忠"
"167","陳建銘"
"168","黃文益"
"169","李鴻源"
"170","楊文科"
"171","蔡適應"
"172","林為洲"
"173","林德福"
"174","李大維"
"175","鄭寶清"
"176","羅致政"
"177","秦慧珠"
"178","阮昭雄"
"179","莊瑞雄"
"180","陳美伶"
"181","李柏毅"
"182","饒慶鈴"
"183","吳秉叡"
"184","林奕華"
"185","林穎孟"
"186","王浩"
"187","林錫耀"
"188","陳歐珀"
"189","蘇震清"
"190","洪耀福"
"191","張宏陸"
"192","鍾佳濱"
"193","許立明"
"194","邱顯智"
"195","蘇治芬"
"196","鄭孟洳"
"197","陳金德"
"198","黃柏霖"
"199","邱俊憲"
"200","蘇建榮"
