"","x"
"1","七堵"
"2","七堵區"
"3","七美"
"4","七美鄉"
"5","七股"
"6","七股區"
"7","三地門"
"8","三地門鄉"
"9","三峽"
"10","三峽區"
"11","三星"
"12","三星鄉"
"13","三灣"
"14","三灣鄉"
"15","三義"
"16","三義鄉"
"17","三芝"
"18","三芝區"
"19","三重"
"20","三重區"
"21","下營"
"22","下營區"
"23","中"
"24","中區"
"25","中和"
"26","中和區"
"27","中埔"
"28","中埔鄉"
"29","中壢"
"30","中壢區"
"31","中寮"
"32","中寮鄉"
"33","中山"
"34","中山區"
"35","中正"
"36","中正區"
"37","中西"
"38","中西區"
"39","九如"
"40","九如鄉"
"41","二崙"
"42","二崙鄉"
"43","二林"
"44","二林鎮"
"45","二水"
"46","二水鄉"
"47","五峰"
"48","五峰鄉"
"49","五結"
"50","五結鄉"
"51","五股"
"52","五股區"
"53","仁德"
"54","仁德區"
"55","仁愛"
"56","仁愛區"
"57","仁愛鄉"
"58","仁武"
"59","仁武區"
"60","伸港"
"61","伸港鄉"
"62","佳冬"
"63","佳冬鄉"
"64","佳里"
"65","佳里區"
"66","來義"
"67","來義鄉"
"68","信義"
"69","信義區"
"70","信義鄉"
"71","元長"
"72","元長鄉"
"73","光復"
"74","光復鄉"
"75","內埔"
"76","內埔鄉"
"77","內湖"
"78","內湖區"
"79","內門"
"80","內門區"
"81","八德"
"82","八德區"
"83","八里"
"84","八里區"
"85","公館"
"86","公館鄉"
"87","六甲"
"88","六甲區"
"89","六腳"
"90","六腳鄉"
"91","六龜"
"92","六龜區"
"93","冬山"
"94","冬山鄉"
"95","前區"
"96","前金"
"97","前金區"
"98","前鎮"
"99","前鎮區"
"100","北"
"101","北區"
"102","北埔"
"103","北埔鄉"
"104","北埔鎮"
"105","北屯"
"106","北屯區"
"107","北投"
"108","北投區"
"109","北斗"
"110","北斗鎮"
"111","北港"
"112","北港鎮"
"113","北竿"
"114","北竿鄉"
"115","北門"
"116","北門區"
"117","卑南"
"118","卑南鄉"
"119","卓溪"
"120","卓溪鄉"
"121","卓蘭"
"122","卓蘭鎮"
"123","南"
"124","南化"
"125","南化區"
"126","南區"
"127","南屯"
"128","南屯區"
"129","南州"
"130","南州鄉"
"131","南庄"
"132","南庄鄉"
"133","南投"
"134","南投市"
"135","南投縣"
"136","南港"
"137","南港區"
"138","南澳"
"139","南澳鄉"
"140","南竿"
"141","南竿鄉"
"142","口湖"
"143","口湖鄉"
"144","古坑"
"145","古坑鄉"
"146","台中"
"147","台中市"
"148","台北"
"149","台北市"
"150","台南"
"151","台南市"
"152","台東"
"153","台東市"
"154","台東縣"
"155","台西"
"156","台西鄉"
"157","吉安"
"158","吉安鄉"
"159","名間"
"160","名間鄉"
"161","后里"
"162","后里區"
"163","和平"
"164","和平區"
"165","和美"
"166","和美鎮"
"167","員山"
"168","員山鄉"
"169","員林"
"170","員林鎮"
"171","善化"
"172","善化區"
"173","嘉義"
"174","嘉義縣"
"175","四湖"
"176","四湖鄉"
"177","國姓"
"178","國姓鄉"
"179","土城"
"180","土城區"
"181","土庫"
"182","土庫鎮"
"183","坪林"
"184","坪林區"
"185","埔心"
"186","埔心鄉"
"187","埔里"
"188","埔里鎮"
"189","埔鹽"
"190","埔鹽鄉"
"191","埤頭"
"192","埤頭鄉"
"193","基隆"
"194","基隆市"
"195","士林"
"196","士林區"
"197","壯圍"
"198","壯圍鄉"
"199","壽豐"
"200","壽豐鄉"
"201","外埔"
"202","外埔區"
"203","大內"
"204","大內區"
"205","大同"
"206","大同區"
"207","大同鄉"
"208","大園"
"209","大園區"
"210","大城"
"211","大城鄉"
"212","大埔"
"213","大埔鄉"
"214","大埤"
"215","大埤鄉"
"216","大安"
"217","大安區"
"218","大寮"
"219","大寮區"
"220","大村"
"221","大村鄉"
"222","大林"
"223","大林鎮"
"224","大樹"
"225","大樹區"
"226","大武"
"227","大武鄉"
"228","大湖"
"229","大湖鄉"
"230","大溪"
"231","大溪區"
"232","大甲"
"233","大甲區"
"234","大社"
"235","大社區"
"236","大肚"
"237","大肚區"
"238","大里"
"239","大里區"
"240","大雅"
"241","大雅區"
"242","太保"
"243","太保市"
"244","太平"
"245","太平區"
"246","太麻里"
"247","太麻里鄉"
"248","學甲"
"249","學甲區"
"250","安南"
"251","安南區"
"252","安定"
"253","安定區"
"254","安平"
"255","安平區"
"256","安樂"
"257","安樂區"
"258","官田"
"259","官田區"
"260","宜蘭"
"261","宜蘭市"
"262","宜蘭縣"
"263","富里"
"264","富里鄉"
"265","寶山"
"266","寶山鄉"
"267","將軍"
"268","將軍區"
"269","小港"
"270","小港區"
"271","尖石"
"272","尖石鄉"
"273","屏東"
"274","屏東市"
"275","屏東縣"
"276","山上"
"277","山上區"
"278","岡山"
"279","岡山區"
"280","峨眉"
"281","峨眉鄉"
"282","崁頂"
"283","崁頂鄉"
"284","崙背"
"285","崙背鄉"
"286","左區"
"287","左營"
"288","左營區"
"289","左鎮"
"290","左鎮區"
"291","布袋"
"292","布袋鎮"
"293","平區"
"294","平溪"
"295","平溪區"
"296","平鎮"
"297","平鎮區"
"298","延平"
"299","延平鄉"
"300","彌陀"
"301","彌陀區"
"302","彰化"
"303","彰化市"
"304","彰化縣"
"305","後壁"
"306","後壁區"
"307","後龍"
"308","後龍鎮"
"309","復興"
"310","復興區"
"311","恆春"
"312","恆春鎮"
"313","成功"
"314","成功鎮"
"315","文山"
"316","文山區"
"317","斗六"
"318","斗六市"
"319","斗南"
"320","斗南鎮"
"321","新化"
"322","新化區"
"323","新北"
"324","新北市"
"325","新區"
"326","新園"
"327","新園鄉"
"328","新城"
"329","新城鄉"
"330","新埔"
"331","新埔鎮"
"332","新埤"
"333","新埤鄉"
"334","新屋"
"335","新屋區"
"336","新市"
"337","新市區"
"338","新店"
"339","新店區"
"340","新港"
"341","新港鄉"
"342","新營"
"343","新營區"
"344","新社"
"345","新社區"
"346","新竹"
"347","新竹市"
"348","新竹縣"
"349","新興"
"350","新興區"
"351","新莊"
"352","新莊區"
"353","新豐"
"354","新豐鄉"
"355","旗山"
"356","旗山區"
"357","旗津"
"358","旗津區"
"359","春日"
"360","春日鄉"
"361","暖暖"
"362","暖暖區"
"363","望安"
"364","望安鄉"
"365","朴子"
"366","朴子市"
"367","杉林"
"368","杉林區"
"369","東"
"370","東勢"
"371","東勢區"
"372","東勢鄉"
"373","東區"
"374","東山"
"375","東山區"
"376","東引"
"377","東引鄉"
"378","東河"
"379","東河鄉"
"380","東港"
"381","東港鎮"
"382","東石"
"383","東石鄉"
"384","松山"
"385","松山區"
"386","板橋"
"387","板橋區"
"388","枋寮"
"389","枋寮鄉"
"390","枋山"
"391","枋山鄉"
"392","林內"
"393","林內鄉"
"394","林口"
"395","林口區"
"396","林園"
"397","林園區"
"398","林邊"
"399","林邊鄉"
"400","柳營"
"401","柳營區"
"402","桃園"
"403","桃園區"
"404","桃園市"
"405","桃園縣"
"406","桃源"
"407","桃源區"
"408","梅山"
"409","梅山鄉"
"410","梓官"
"411","梓官區"
"412","梧棲"
"413","梧棲區"
"414","楊梅"
"415","楊梅區"
"416","楊梅鎮"
"417","楠梓"
"418","楠梓區"
"419","楠西"
"420","楠西區"
"421","樹林"
"422","樹林區"
"423","橋頭"
"424","橋頭區"
"425","橫山"
"426","橫山鄉"
"427","歸仁"
"428","歸仁區"
"429","民雄"
"430","民雄鄉"
"431","水上"
"432","水上鄉"
"433","水林"
"434","水林鄉"
"435","水里"
"436","水里鄉"
"437","永和"
"438","永和區"
"439","永安"
"440","永安區"
"441","永康"
"442","永康區"
"443","永靖"
"444","永靖鄉"
"445","汐止"
"446","汐止區"
"447","池上"
"448","池上鄉"
"449","沙鹿"
"450","沙鹿區"
"451","泰安"
"452","泰安鄉"
"453","泰山"
"454","泰山區"
"455","泰武"
"456","泰武鄉"
"457","海端"
"458","海端鄉"
"459","淡水"
"460","淡水區"
"461","深坑"
"462","深坑區"
"463","清水"
"464","清水區"
"465","湖內"
"466","湖內區"
"467","湖口"
"468","湖口鄉"
"469","湖西"
"470","湖西鄉"
"471","溪口"
"472","溪口鄉"
"473","溪州"
"474","溪州鄉"
"475","溪湖"
"476","溪湖鎮"
"477","滿州"
"478","滿州鄉"
"479","潭子"
"480","潭子區"
"481","潮州"
"482","潮州鎮"
"483","澎湖"
"484","澎湖縣"
"485","烏來"
"486","烏來區"
"487","烏坵"
"488","烏坵鄉"
"489","烏日"
"490","烏日區"
"491","燕巢"
"492","燕巢區"
"493","牡丹"
"494","牡丹鄉"
"495","獅子"
"496","獅子鄉"
"497","獅潭"
"498","獅潭鄉"
"499","玉井"
"500","玉井區"
"501","玉里"
"502","玉里鎮"
"503","琉球"
"504","琉球鄉"
"505","瑞穗"
"506","瑞穗鄉"
"507","瑞芳"
"508","瑞芳區"
"509","瑪家"
"510","瑪家鄉"
"511","田中"
"512","田中鎮"
"513","田寮"
"514","田寮區"
"515","田尾"
"516","田尾鄉"
"517","甲仙"
"518","甲仙區"
"519","番路"
"520","番路鄉"
"521","白沙"
"522","白沙鄉"
"523","白河"
"524","白河區"
"525","石岡"
"526","石岡區"
"527","石碇"
"528","石碇區"
"529","石門"
"530","石門區"
"531","礁溪"
"532","礁溪鄉"
"533","社頭"
"534","社頭鄉"
"535","神岡"
"536","神岡區"
"537","福興"
"538","福興鄉"
"539","萬丹"
"540","萬丹鄉"
"541","萬巒"
"542","萬巒鄉"
"543","萬榮"
"544","萬榮鄉"
"545","萬華"
"546","萬華區"
"547","萬里"
"548","萬里區"
"549","秀林"
"550","秀林鄉"
"551","秀水"
"552","秀水鄉"
"553","竹北"
"554","竹北市"
"555","竹南"
"556","竹南鎮"
"557","竹塘"
"558","竹塘鄉"
"559","竹山"
"560","竹山鎮"
"561","竹崎"
"562","竹崎鄉"
"563","竹東"
"564","竹東鎮"
"565","竹田"
"566","竹田鄉"
"567","綠島"
"568","綠島鄉"
"569","線西"
"570","線西鄉"
"571","羅東"
"572","羅東鎮"
"573","美濃"
"574","美濃區"
"575","義竹"
"576","義竹鄉"
"577","臺中"
"578","臺中市"
"579","臺北"
"580","臺北市"
"581","臺南"
"582","臺南市"
"583","臺東"
"584","臺東市"
"585","臺東縣"
"586","臺西"
"587","臺西鄉"
"588","芎林"
"589","芎林鄉"
"590","芬園"
"591","芬園鄉"
"592","花壇"
"593","花壇鄉"
"594","花蓮"
"595","花蓮市"
"596","花蓮縣"
"597","芳苑"
"598","芳苑鄉"
"599","苑裡"
"600","苑裡鎮"
"601","苓雅"
"602","苓雅區"
"603","苗栗"
"604","苗栗市"
"605","苗栗縣"
"606","茂林"
"607","茂林區"
"608","茄萣"
"609","茄萣區"
"610","草屯"
"611","草屯鎮"
"612","莒光"
"613","莒光鄉"
"614","莿桐"
"615","莿桐鄉"
"616","蘆洲"
"617","蘆洲區"
"618","蘆竹"
"619","蘆竹區"
"620","蘇澳"
"621","蘇澳鎮"
"622","蘭嶼"
"623","蘭嶼鄉"
"624","虎尾"
"625","虎尾鎮"
"626","褒忠"
"627","褒忠鄉"
"628","西"
"629","西區"
"630","西屯"
"631","西屯區"
"632","西嶼"
"633","西嶼鄉"
"634","西港"
"635","西港區"
"636","西湖"
"637","西湖鄉"
"638","西螺"
"639","西螺鎮"
"640","觀音"
"641","觀音區"
"642","豐原"
"643","豐原區"
"644","豐濱"
"645","豐濱鄉"
"646","貢寮"
"647","貢寮區"
"648","路竹"
"649","路竹區"
"650","車城"
"651","車城鄉"
"652","通霄"
"653","通霄鎮"
"654","造橋"
"655","造橋鄉"
"656","連江"
"657","連江縣"
"658","達仁"
"659","達仁鄉"
"660","那瑪夏"
"661","那瑪夏區"
"662","里港"
"663","里港鄉"
"664","金城"
"665","金城鎮"
"666","金寧"
"667","金寧鄉"
"668","金山"
"669","金山區"
"670","金峰"
"671","金峰鄉"
"672","金沙"
"673","金沙鎮"
"674","金湖"
"675","金湖鎮"
"676","金門"
"677","金門縣"
"678","銅鑼"
"679","銅鑼鄉"
"680","長治"
"681","長治鄉"
"682","長濱"
"683","長濱鄉"
"684","關山"
"685","關山鎮"
"686","關廟"
"687","關廟區"
"688","關西"
"689","關西鎮"
"690","阿蓮"
"691","阿蓮區"
"692","阿里山"
"693","阿里山鄉"
"694","集集"
"695","集集鎮"
"696","雙溪"
"697","雙溪區"
"698","雲林"
"699","雲林縣"
"700","霧台"
"701","霧台鄉"
"702","霧峰"
"703","霧峰區"
"704","霧臺"
"705","霧臺鄉"
"706","頭份"
"707","頭份鎮"
"708","頭城"
"709","頭城鎮"
"710","頭屋"
"711","頭屋鄉"
"712","香山"
"713","香山區"
"714","馬公"
"715","馬公市"
"716","高樹"
"717","高樹鄉"
"718","高雄"
"719","高雄市"
"720","魚池"
"721","魚池鄉"
"722","鳥松"
"723","鳥松區"
"724","鳳山"
"725","鳳山區"
"726","鳳林"
"727","鳳林鎮"
"728","鶯歌"
"729","鶯歌區"
"730","鹽埔"
"731","鹽埔鄉"
"732","鹽埕"
"733","鹽埕區"
"734","鹽水"
"735","鹽水區"
"736","鹿港"
"737","鹿港鎮"
"738","鹿草"
"739","鹿草鄉"
"740","鹿谷"
"741","鹿谷鄉"
"742","鹿野"
"743","鹿野鄉"
"744","麟洛"
"745","麟洛鄉"
"746","麥寮"
"747","麥寮鄉"
"748","麻豆"
"749","麻豆區"
"750","鼓山"
"751","鼓山區"
"752","龍井"
"753","龍井區"
"754","龍崎"
"755","龍崎區"
"756","龍潭"
"757","龍潭區"
"758","龜山"
"759","龜山區"
